batch_no,your_decision_fill_this,merge_into_product_id_fill_this,final_company_brand_product_fill_this,notes_fill_this,source_company,candidate_product_or_family,source_count,source_types,source_domains,confidence_mix,sample_url,review_status,existing_products_in_master,source_examples,what_i_need_from_you
MISS-022,新增为产品线,,Kylane / MaiLi / MaiLi HA Filler,用户确认：MaiLi 为高端 HA 填充剂，应作为独立产品线；与 MISS-011 同向，入库前需处理现有 Sinclair Pharma / MaiLi 与 Kylane / Kysense 的归属/去重。,Kylane,MaiLi,40,official_website_master; product_specification_evidence,filler-france.com; isrctn.com; kylane.com; maili.com; mdpi.com; pillolastore.com; sinclair.com,official_search_excerpt_spec_candidate:30; product_official_domain_candidate:4; product_official_search_candidate:3; secondary_source_crosscheck:1,https://filler-france.com/en/home/380-maili-precise-4x1ml.html,candidate,prod_a42d9b6e3f31 | Kysense / Kysense Body HA filler (Injectables > Dermal Filler),"[official_website_master] Innovative solutions for the face and for the body with hyaluronic aci - Kylane | https://www.kylane.com/treatment-solutions | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Innovative solutions for the face and for the body with hyaluronic aci - Kylane | https://www.kylane.com/treatment-solutions | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] FAQs | MaiLi Premium Hyaluronic Acid Fillers - MaiLi | https://maili.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Premium Hyaluronic Acid (HA) Dermal Filler | MaiLi - MaiLi | https://maili.com/ | product_official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] FAQs | MaiLi Premium Hyaluronic Acid Fillers - MaiLi | https://maili.com/ | official_site_spec_candidate | aiLi is safety, which is why all products are developed with the utmost care, while using lidocaine for a more comfortable experience. All MaiLi fill… || [product_specification_evidence] Premium Hyaluronic Acid (HA) Dermal Fillers | MaiLi - Sinclair United Kingdom | https://sinclair.com/ | official_site_spec_candidate | s Energy devices Back View all Injectables and threads Ellansé Lanluma MaiLi Silhouette Soft Perfectha View all Energy devices Cooltech Cooltech Defi…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-023,排除-非医美/非上游,,Galderma / Aklief,用户确认：寻常痤疮治疗处方药，属于传统严肃皮肤科用药，不纳入医美上游产品线。,Galderma,Aklief,36,official_website_master; product_specification_evidence,accessdata.fda.gov; aklief.com; dailymed.nlm.nih.gov; dhpp.hpfb-dgpsa.ca; fda.gov; galderma.com; hpr-rps.hres.ca; swissmedic.ch; tga.gov.au,official_site_spec_candidate:11; official_search_excerpt_spec_candidate:8; product_official_search_candidate:6; product_official_domain_candidate:5,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/211527Orig1s000OtherR.pdf,candidate,prod_09cdf2012b4c | ALASTIN Skincare / TriHex Technology Skincare (Skincare > Cosmeceutical); prod_22738c55d605 | Alastin / Regenerating Skin Nectar (Skincare > Cosmeceutical); prod_2dc6158c17cc | Alluzience / Ready-to-Use Liquid BoNT-A (Injectables > Neurotoxin); prod_cce4c2f61882 | Cetaphil / Gentle Skin Cleanser (Skincare > Cosmeceutical); prod_a3fda2457621 | Dysport / Azzalure / AbobotulinumtoxinA (Injectables > Neurotoxin); prod_9e543e0b57e7 | Relfydess / RelabotulinumtoxinA (Injectables > Neurotoxin); prod_adc9f6304ad5 | Restylane / Restylane (NASHA) (Injectables > Dermal Filler); prod_4daac7e09ddb | Restylane / Restylane (OBT / XpresHAn) (Injectables > Dermal Filler); prod_c02f4d543025 | Restylane Contour / HA Filler for Cheeks (Injectables > Dermal Filler); prod_93db7892de5b | Restylane Defyne / HA Filler for Deep Facial Folds (Injectables > Dermal Filler); prod_090806558f12 | Restylane Eyelight / HA Filler for Tear Trough (Injectables > Dermal Filler); prod_0ccb09310f48 | Restylane Kysse / HA Filler for Lips (Injectables > Dermal Filler); prod_6a5c0a95c13d | Restylane Lyft / HA Filler for Cheeks and Hands (Injectables > Dermal Filler); prod_f855bda3a241 | Restylane Refyne / HA Filler for Dynamic Facial Folds (Injectables > Dermal Filler); prod_a273bcba7400 | Restylane SHAYPE / HA Filler for Chin (Injectables > Dermal Filler); prod_72a45f382c8e | Restylane Skinboosters / HA Skin Booster (Injectables > Dermal Filler); prod_36cccb3f5f45 | Restylane Skinboosters Vital Light / HA Skin Quality Booster for Delicate Areas (Injectables > Skin Booster); prod_7b1c90ea05cb | Sculptra / Sculptra (PLLA) (Injectables > Biostimulator),"[official_website_master] Improved CMI template | https://www.galderma.com/au/sites/default/files/Aklief_CMI.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] N/A | https://www.galderma.com/au/sites/default/files/inline-files/Aklief_Australian%20PI_0.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] [PDF] Trifarotene cream - [Product Monograph Template - Standard] | https://www.galderma.com/sites/default/files/inline-files/Aklief%20PM-E-Nov-25.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Prescription Acne Treatment for Teens | AKLIEF® (trifarotene) Cream | https://www.aklief.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] P52476-3 Soolantra cream PI_Clean | https://www.galdermacc.com/ | official_site_spec_candidate | drugs to the FDA. Visit fda.gov/medwatch or call 1-800-FDA-1088. Other offers may apply. Visit AKLIEF website View Full Product List ORACEA® (doxycyc… || [product_specification_evidence] P52476-3 Soolantra cream PI_Clean | https://www.galdermacc.com/ | official_site_spec_candidate | may apply. Visit AKLIEF website View Full Product List ORACEA® (doxycycline, USP) 40 mg ** Capsules Product Size 30 count Covered † $0 Not Covered/Ca…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-024,排除-非医美/非上游,,Lemi / Lemi,用户确认：高端医疗美容床/椅家具制造商，不属于临床治疗核心器械或耗材产品线。,Lemi,Lemi,31,official_website_master; product_specification_evidence,archello.com; imdad.com; infiniummedical.com; lemimd.com; lemispa.com; pdf.archiexpo.com; pdf.medicalexpo.com,official_domain_candidate:12; official_search_excerpt_spec_candidate:9; company_official_search_candidate:4; official_site_spec_candidate:3,https://archello.com/product/64782/attachments/brochures,candidate,(当前主库没有该公司的产品线),"[official_website_master] Italian Medical Equipment | Lemi MD | Medical Equipment | https://www.lemimd.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Lemi 4 | Lemispa EN | https://www.lemispa.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Italian Medical Equipment | Lemi MD | Medical Equipment | https://www.lemimd.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Medical Equipment for Aesthetics sector Made in Italy - Lemi MD | https://www.lemimd.com/medical-equipment-for-aesthetics-sector/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Lemi 4 | Lemispa EN | https://www.lemispa.com/en/product/lemi-4/ | official_site_spec_candidate | ttps://www.lemispa.com/en/#/schema/logo/image/"",""url"":""https://www.lemispa.com/en/wp-content/ n: center;} ul.project-tiles.blog-cat-fil li:hover .pro… || [product_specification_evidence] Lemi 2 | Lemi MD | Medical Equipment | https://www.lemimd.com/product/lemi-2/ | official_search_excerpt_spec_candidate | free, antibacterial, antifungal covering - Standard flat mattress - 360° chair rotation - Entirely enclosed ABS casing - Weight: 70 kg | Dimensions: …",主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-025,排除-非医美/非上游,,Collagen Matrix / Regenity Biosciences / NeuroMatrix / NeuroMend,用户确认：神经与口腔/骨修复生物材料，属于跨界医疗，不纳入本医美上游产品线。,Collagen Matrix / Regenity Biosciences,NeuroMatrix / NeuroMend,27,official_website_master; product_specification_evidence,accessgudid.nlm.nih.gov; biospace.com; collagenmatrix.com; premera.com; prnewswire.com; regenity.com; sec.gov; stryker.com,official_search_excerpt_spec_candidate:9; product_official_search_candidate:7; official_domain_candidate:5; official_site_spec_candidate:4,https://accessgudid.nlm.nih.gov/devices/00813954020174,candidate,prod_f9613565d24b | Soft Tissue Reinforcement / Soft Tissue Scaffold (Injectables > Dermal Filler),[official_website_master] Home - Regenity | https://www.collagenmatrix.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] N/A | https://regenity.com/wp-content/uploads/2023/03/DuraMatrixBrochure-MS597-Rev-1-.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Product Portfolio - Regenity | https://regenity.com/product-portfolio/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Solutions - Regenity | https://regenity.com/solutions/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Home - Regenity | https://www.collagenmatrix.com/ | official_site_spec_candidate | tion 30M+ patients’ lives impacted 170+ regulatory approvals worldwide Supporting partners in 80+ countries 5M+ regenerative medical devices produced… || [product_specification_evidence] Home - Regenity | https://www.collagenmatrix.com/ | official_site_spec_candidate | nts’ lives impacted 170+ regulatory approvals worldwide Supporting partners in 80+ countries 5M+ regenerative medical devices produced each year ISO …,请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-026,排除-非医美/非上游,,London Regenerative Institute / LRI,用户确认：LRI 是再生医学/抗衰老服务型下游临床机构，提供 IV Drips、HBOT、PRP 等疗程，不是上游核心器械或注射材料制造商。,London Regenerative Institute,LRI,27,official_website_master; product_specification_evidence,artislondon.com; cpduk.co.uk; demo.londonregenerative.co.uk; london-regenerative.com; londonregenerative.co.uk,official_site_spec_candidate:14; official_domain_candidate:12; secondary_source_crosscheck:1,https://www.artislondon.com/shop/p/regenerative-complex,candidate,(当前主库没有该公司的产品线),[official_website_master] LRI | https://londonregenerative.co.uk/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Regenerative Complex - NAD+ Product - Artis London | https://www.artislondon.com/shop/p/regenerative-complex | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Clinical Services - Regenerative Treatment London | https://demo.londonregenerative.co.uk/ecosystem/clinical-services/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] History - Regenerative Treatment London | https://demo.londonregenerative.co.uk/history | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Longevity Clinic | London Regenerative Institute | https://london-regenerative.com/ | official_site_spec_candidate | IV Drips Hyperbaric Oxygen Therapy (HBOT) Hypoxic Training VMP Cream Platelet-Rich Plasma (PRP) REGENERATIVE AESTHETICS Biofiller The Glow Protocol M… || [product_specification_evidence] The Truth About Anti-Ageing Supplements | London Regenerative Institute | https://london-regenerative.com/the-truth-about-anti-ageing-supplements/ | official_site_spec_candidate | IV Drips Hyperbaric Oxygen Therapy (HBOT) Hypoxic Training VMP Cream Platelet-Rich Plasma (PRP) REGENERATIVE AESTHETICS Biofiller The Glow Protocol M…,主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-027,排除-非医美/非上游,,BTL / EXOMIND,用户确认：治疗抑郁症设备，不属于医美上游产品线。,BTL,EXOMIND,25,official_website_master; product_specification_evidence,app.qwoted.com; bodybybtl.com; btlaesthetics.com; btlaesthetics.pl; btlexomind.com; consultingroom.com; fda.report; medstarmedia.com; newswire.ca; prnewswire.co.uk; prnewswire.com; thedevicepulse.com,official_search_excerpt_spec_candidate:9; secondary_source_crosscheck:8; product_official_search_candidate:5; official_site_spec_candidate:2,https://app.qwoted.com/products/exomind,candidate,prod_a816d8a3af2e | EMFACE Submentum / RF + HIFES for Submental (EBD > Radiofrequency); prod_154406bbd526 | EMFEMME 360 / 360-Degree RF Vaginal (EBD > Radiofrequency); prod_b2ff5bd02cc5 | EMTONE / RF + Mechanical Cellulite Treatment (EBD > Radiofrequency); prod_b5b0c31cc885 | EXION Clear RF / RF for Skin Clarity (EBD > Radiofrequency); prod_ecb9ce655791 | EXION Face / Monopolar RF + Targeted Ultrasound (EBD > Radiofrequency); prod_2465634bea74 | EXION Fractional RF / AI-Controlled Fractional RF (EBD > Radiofrequency); prod_aa6a7f782121 | Emface / Facial Muscle Lifting (EBD > Radiofrequency); prod_80c86c09615a | Emsculpt NEO / Body Contouring (Muscle) (EBD > Radiofrequency); prod_549dfa272486 | Emsella / Pelvic Health (EBD > EMS); prod_565dcef1d971 | Exilis Ultra / RF + Ultrasound Combination (EBD > Radiofrequency); prod_3caba46020d5 | Exilis Ultra 360 / Skin Tightening (EBD > Radiofrequency); prod_7615190e9cd0 | Unison / BTL Unison (EBD > Radiofrequency); prod_8f01c851e9a7 | Vanquish ME / Contactless Fat Reduction (EBD > Radiofrequency); prod_0b9f549a22d3 | Vanquish ME / Non-Contact Selective RF (EBD > Radiofrequency),[official_website_master] EXOMIND - Strenghten Your Mind | BTL Aesthetics | https://btlexomind.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] EXOMIND - Strenghten Your Mind | BTL Aesthetics | https://btlexomind.com/ | product_official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Products | BTL | EXOMIND | Qwoted | https://app.qwoted.com/ | product_official_search_candidate | Operating-company or product-portfolio official surface. || [official_website_master] BTL Unveils EXOMIND: A New Era in Mental Wellness | https://www.newswire.ca/ | product_official_search_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] EMSELLA - Urinary Incontinence Device | BTL Australia | https://www.btlmed.com.au/ | official_site_spec_candidate | devices High-end devices Shockwave therapy Super Inductive System High Intensity Laser TR-Therapy Spinal decompression Essential solutions Essential … || [product_specification_evidence] EXOMIND by BTL: FDA Cleared for Treating Depression | https://medstarmedia.com/ | official_site_spec_candidate | ing Experts In You’re the talent! We make sure the right people know it. Who We Serve Medical Spas Body Contouring - Laser Treatments - Injectables -…,请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-028,排除-非医美/非上游,,BioElectronics / ActiPatch,用户确认：镇痛设备，不属于医美上游产品线。,BioElectronics,ActiPatch,22,official_website_master; product_specification_evidence,accessdata.fda.gov; actipatch.com; actipatch.se; bielcorp.com; dmd-browser.nhsbsa.nhs.uk; rdtc.nhs.uk,product_official_search_candidate:6; official_search_excerpt_spec_candidate:5; company_official_search_candidate:4; secondary_source_crosscheck:3,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192234.pdf,candidate,prod_96179facd1ca | RecoveryRx / Wearable PSWT Device (Skincare > Cosmeceutical),"[official_website_master] BioElectronics Corporation | https://actipatch.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] BioElectronics Corporation | https://actipatch.com/ | product_official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] ActiPatch - online | https://actipatch.com/directions-for-use | product_official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] N/A | https://www.actipatch.se/ | company_official_search_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] BioElectronics Earns CE Mark for the ActiPatch and RecoveryRx — Drug-Free Pain Therapy De… | https://www.bielcorp.com/bioelectronics-earns-ce-mark-for-the-actipatch-and-recoveryrx-drug-free-pa… | official_search_excerpt_spec_candidate | BioElectronics Earns CE Mark for the ActiPatch and RecoveryRx — Drug-Free Pain Therapy Devices – BioElectronics Corporation s CE Mark for the ActiPat… || [product_specification_evidence] BioElectronics Corporation | https://actipatch.com/ | official_site_spec_candidate | 1.wsimg.com/gfonts/s/cabin/v35/u-4X0qWljRw-PfU81xCKCpdpbgZJl6XFpfEd7eA9BIxxkbqDH7ilx17r.woff2) format('woff2'); unicode-range: U+0100-02BA, U+02BD-02…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-029,新增为产品线,,Skinedit Nutricosmetics / KeraFactor / KeraFactor,用户确认：KeraFactor 面向头皮抗衰与生发的专业精华及光电联合治疗方案，符合医美向毛发健康延伸趋势，应新增。,Skinedit Nutricosmetics,KeraFactor,21,official_website_master; product_specification_evidence,aestheticmedicalpractitioner.com.au; kerafactor.eu; mykerafactor.com; prnewswire.com; shop.mykerafactor.com; skinfo.com; xcitetech.com; youngdermed.com,official_search_excerpt_spec_candidate:7; product_official_domain_candidate:6; product_official_search_candidate:3; secondary_source_crosscheck:3,https://aestheticmedicalpractitioner.com.au/directory/products/kerafactor/,candidate,prod_167cd4804103 | Skinedit / Drinkable Skincare (Injectables > Dermal Filler),"[official_website_master] FAQ | KeraFactor EU | https://kerafactor.eu/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Ingredients | http://mykerafactor.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] KeraFactor Patients | KeraFactor by SkinQRI | https://mykerafactor.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] KeraFactor Eye Lash Enhancing Serum | Longer Lashes, Fast Results | https://shop.mykerafactor.com/ | product_official_domain_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] KeraFactor Patients | KeraFactor by SkinQRI | https://mykerafactor.com/ | official_site_spec_candidate | 147483645"";var t=document.createElement(""textarea"");t.value=JSON.stringify(JSON.parse(n),null,2),t[l].border=""none"",t[l].display=""block"",t[l].boxSizi… || [product_specification_evidence] Ingredients | http://mykerafactor.com/ | official_site_spec_candidate | 147483645"";var t=document.createElement(""textarea"");t.value=JSON.stringify(JSON.parse(n),null,2),t[l].border=""none"",t[l].display=""block"",t[l].boxSizi…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-030,排除-非医美/非上游,,Altis Biologics / Altis OBM,用户确认：骨科生物制剂，不属于医美上游产品线。,Altis Biologics,Altis OBM,17,official_website_master; product_specification_evidence,altisbiologics.com; biosa.org.za; bizcommunity.africa; nature.com; ortho-centric.com; pharmaboardroom.com; theinnovationhub.com,product_official_search_candidate:5; official_site_spec_candidate:5; company_official_search_candidate:4; official_domain_candidate:2,https://altisbiologics.com/,candidate,(当前主库没有该公司的产品线),[official_website_master] Altis Biologics | https://altisbiologics.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Altis Biologics | https://www.altisbiologics.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Slide 1 | https://biosa.org.za/pdfs/nicolaas_duneas.pdf | company_official_search_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Winners of Innovation Prize for Africa announced | https://www.bizcommunity.africa/Article/410/40/113079.html | product_official_search_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Associates - Ortho Centric Innovations | https://ortho-centric.com/associates/ | official_site_spec_candidate | . This would fulfil one of the missions of the university which is to introduce new technology to the South African manufacturing industry. The centr… || [product_specification_evidence] Altis Biologics | https://pharmaboardroom.com/directory/altis-biologics/ | official_site_spec_candidate | entre Mark Shuttleworth Street at The Innovation Hub 0087 Pretoria South Africa Nicolaas Duneas Tel: +27 12 844-0098 E-mail: nic@altisbiologics.com M…,主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-031,排除-非医美/非上游,,Next Biosciences / Netcells,用户确认：干细胞存储库/服务，不属于具体医美上游产品线。,Next Biosciences,Netcells,16,official_website_master; product_specification_evidence,nextbio.co.za; nextmdlink.com; parentsguidecordblood.org; sascrscongress.co.za,official_domain_candidate:8; official_site_spec_candidate:4; official_search_excerpt_spec_candidate:2; product_official_search_candidate:1,https://nextbio.co.za/Products/Patient,candidate,(当前主库没有该公司的产品线),[official_website_master] Products for Patients - Next Biosciences | https://nextbio.co.za/Products/Patient | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Use of autologous adipose-derived mesenchymal stem cells for ovarian rejuvenation Use of … | https://nextbio.co.za/blog/details/adipose-derived-mesenchymal-stem-cells-for-ovarian-rejuvenation | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Biotech Company | Genetic Testing | Stem Cell Banking | https://nextbio.co.za/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] AmnioMatrix - Amniotic Membrane for Ophthalmology - Next Biosciences | https://nextbio.co.za/SPECIALIST/Ophthalmology/AmnioMatrix | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Netcells - Umbilical Cord Stem Cell Banking - Next Biosciences | https://nextbio.co.za/Divisions/Specialists/Biobank/Netcells | official_site_spec_candidate | by's stem cells. 02 The cord blood is collected immediately after the birth and before delivery of the placenta. 03 The umbilical cord is cut and cla… || [product_specification_evidence] Netcells by NEXT Biosciences | https://parentsguidecordblood.org/en/bank/next-biobank-netcells | official_site_spec_candidate | n kit contains a thermal insulated bag which ensures that the cord blood and tissue are maintained at a constant temperature throughout transport. Th…,主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-032,新增为产品线,,Nunii Laboratoire / Nunii / Professional Peels and Pigmentation Treatment,用户确认：Nunii 专注化学剥脱和色素沉着治疗专业线产品，属于医美机构常备耗材，应新增。,Nunii Laboratoire,Nunii,15,official_website_master; product_specification_evidence,anti-age-magazine.com; avanaclinic.com; cosmeticobs.com; dermafocus.co.uk; en.anti-age-magazine.com; entreprises.lefigaro.fr; jesenslebonheur.fr; mvseatelier.com; myskinessentia.com; nunii-laboratoire.com.siteindices.com; toaclinic.co.uk,secondary_source_crosscheck:5; company_official_search_candidate:3; official_site_spec_candidate:3; product_official_search_candidate:2,https://www.anti-age-magazine.com/nunii-laboratoire/,candidate,(当前主库没有该公司的产品线),[official_website_master] Nunii-laboratoire / nunii-laboratoire - We do everything right for your skin | https://nunii-laboratoire.com.siteindices.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Nunii-laboratoire / nunii-laboratoire - We do everything right for your skin | https://nunii-laboratoire.com.siteindices.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Nunii Peel uniq-white® SYSTEM - Avana Cosmetic & Beauty Clinic | https://www.avanaclinic.com/ | company_official_search_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Novelskin acquires Nunii laboratory. - Sector | https://cosmeticobs.com/ | company_official_search_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] Pigmentation/Melasma | TOA CLINIC | https://www.toaclinic.co.uk/pigmentation-correction | official_site_spec_candidate | ks|Rejuvination Anti Wrinkle Injections Cellulite and Skin Tightening Chemical peels CryoSauna Cryolipolysis Exilis vCellulite/fat and skin tight Fat…,主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-033,排除-非医美/非上游,,Collagen Matrix / Regenity Biosciences / MatrixDerm / MatrixMem,用户确认：神经/口腔/骨修复相关生物材料，属于跨界医疗，不纳入本医美上游产品线。,Collagen Matrix / Regenity Biosciences,MatrixDerm / MatrixMem,12,official_website_master,accessdata.fda.gov; collagenmatrix.com; fda.report; regenity.com; sec.gov; straumann.com,official_domain_candidate:8; product_official_search_candidate:2; company_official_search_candidate:1; secondary_source_crosscheck:1,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMN/pmn.cfm?ID=K100156,candidate,prod_f9613565d24b | Soft Tissue Reinforcement / Soft Tissue Scaffold (Injectables > Dermal Filler),[official_website_master] Home - Regenity | https://www.collagenmatrix.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Home - Regenity | https://regenity.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Dental - Regenity | https://regenity.com/dental/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Product Portfolio - Regenity | https://regenity.com/product-portfolio/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence.,请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-034,排除-非医美/非上游,,Orbio Innovations / Orbio,用户确认：骨科生物制剂/骨修复方向，不属于医美上游产品线。,Orbio Innovations,Orbio,12,official_website_master; product_specification_evidence,biopsybell.com; nobles.com; orbioinnovations.com; parametricsmedical.com; pdf.directindustry.com; tennantco.com,official_domain_candidate:5; company_official_search_candidate:3; official_search_excerpt_spec_candidate:2; secondary_source_crosscheck:1,https://www.biopsybell.com/products/ortho-biologics/orthoplasty-subchondral-bone-plasty/,candidate,(当前主库没有该公司的产品线),"[official_website_master] Orbio Innovations: Orthobiologic R&D and Consulting | https://orbioinnovations.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Orbio Innovations: Orthobiologic R&D and Consulting | https://orbioinnovations.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Orthobiologics Market - Orbio Innovations - Accelerate the Growth of Your Business | https://orbioinnovations.com/orthobiologics-market/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Our Solutions - Advanced Orthobiologic Development and Consulting | https://orbioinnovations.com/our-solutions/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Our Solutions - Advanced Orthobiologic Development and Consulting | https://orbioinnovations.com/our-solutions/ | official_search_excerpt_spec_candidate | ion; mfg. process analysis, troubleshooting, and optimization (cost, time, yields) - Quality: Quality system creation, customization, and optimizatio…",主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
