seed_record_id,company,brand,standard_product_name,reason,candidate_urls
REC_0852,Alma Lasers,BeautiFill,Laser-Assisted Liposuction,page_bad_text:cookie,4
REC_0860,Candela,Frax Pro,Dual-Wavelength Fractional,no_candidate,1
REC_0861,Candela,Matrix,Triple-in-One RF System,page_bad_text:wide range of conditions,4
REC_0864,Candela,VelaShape III,IR+RF+Vacuum+Massage,no_candidate,4
REC_0865,Candela,Glacē,Hydro-Dermabrasion + LED,page_bad_text:wide range of conditions,4
REC_0867,BTL,EXION Clear RF,RF for Skin Clarity,page_bad_text:orthopedic,3
REC_0868,BTL,EMFACE Submentum,RF + HIFES for Submental,no_candidate,4
REC_0871,BTL,Exilis Ultra,RF + Ultrasound Combination,no_candidate,4
REC_0872,BTL,EXION Fractional RF,AI-Controlled Fractional RF,no_candidate,4
REC_0873,BTL,EXION Face,Monopolar RF + Targeted Ultrasound,no_candidate,4
REC_0875,Hugel,Bylizen,HA Skin Booster,no_fetchable_official_url,
REC_0876,Hugel,Dermalax,HA Filler Blob Technology,no_candidate,4
REC_0888,IBSA Derma,Profhilo Body,HA Bio-Remodeling for Body,no_candidate,2
REC_0891,IBSA Derma,Aliaxin GP,HA Filler Global Performance,page_bad_text:privacy policy,1
REC_0894,IBSA Derma,Viscoderm Hydrobooster,Crosslinked HA Dynamic Areas,page_bad_text:cookie,1
REC_0895,IBSA Derma,Viscoderm Skinko E,Enhanced Mesotherapy Cocktail,no_candidate,1
REC_0896,IBSA Derma,Ialuset,HA Wound Healing Series,no_candidate,4
REC_0897,DEKA,Motus PRO,MOVEO Pain-Free Hair Removal,page_bad_text:available in,3
REC_0899,DEKA,Onda PRO,Coolwaves Microwave,page_bad_text:available in,3
REC_0901,DEKA,Lipo AI,1444nm Laser Lipolysis,page_bad_text:available in,4
REC_0902,Asclepion,MeDioStar,810+940nm Diode Hair Removal,no_candidate,4
REC_0906,Asclepion,BodyLab,FMS Focused Magnetic Stimulation,no_candidate,1
REC_0908,Quanta System,Thunder,Dual-Wavelength High-Speed Hair Removal,page_bad_text:privacy policy,4
REC_0909,Quanta System,Suprema,Triple-Wavelength Hair Removal,page_bad_text:privacy policy,4
REC_0910,Quanta System,Chrome Lase-Station,Multi-Application Workstation,page_bad_text:privacy policy,4
REC_0915,Classys,AQUAPURE,AQUAPURE,no_candidate,4
REC_0923,Venus Concept,AI.ME,AI.ME,no_fetchable_official_url,
REC_0933,Caregen,Dermaheal,Dermaheal,no_candidate,4
REC_0935,Caregen,Pelo Baum,Pelo Baum,no_fetchable_official_url,
REC_0940,Wontech,PICOCARE,PICOCARE 450/Majesty,no_candidate,3
REC_0943,Wontech,ULTRASKIN,ULTRASKIN TIGHTAN II,no_candidate,1
REC_0944,Wontech,PICOALEX,PICOALEX,no_candidate,1
REC_0946,Wontech,PASTELLE,PASTELLE Pro,product_token_not_near_candidate,2
REC_0947,Hironic,DOUBLO,DOUBLO Gold,no_candidate,4
REC_0948,Hironic,New Doublo,New Doublo 2.0,product_token_not_near_candidate,4
REC_0950,Hironic,SILKRO,SILKRO,product_token_not_near_candidate,4
REC_0951,Hironic,Ultra Vera,Ultra Vera,no_candidate,4
REC_0952,Hironic,MICOOL,MICOOL-S/MICOOL-A,page_bad_text:privacy policy,4
REC_0954,EndyMed Medical,PRO,EndyMed PRO,page_bad_text:objective of this study,4
REC_0958,Beauty Health,HydraFacial,HydraFacial Boosters,page_bad_text:available in,1
REC_0967,BioPlus,ACROSS,ACROSS,no_candidate,4
REC_0974,BNC Korea,BONIVA FILLER,BONIVA Filler,product_token_not_near_candidate,1
REC_0975,HansBiomed.,MegaDerm,MegaDerm,page_bad_text:orthopedic,1
REC_0976,HansBiomed.,MegaFill,MegaFill,empty_or_short_text,1
REC_0979,Lumenis,LightSheer,LightSheer QUATTRO,page_bad_text:available in,4
REC_0989,Sciton,BBL,BBL HEROic,no_candidate,4
REC_0996,Fotona d.o.o.,Fotona,SP Dynamis Pro,page_bad_text:wide range of treatments,4
REC_0997,Fotona d.o.o.,StarWalker,StarWalker MaQX Pro,no_candidate,4
REC_0999,Fotona d.o.o.,TimeWalker,TimeWalker II Fotona4D,no_clinical_term,4
REC_1000,Fotona d.o.o.,TimeWalker,TimeWalker II NightLase,page_bad_text:available in,4
REC_1001,Fotona d.o.o.,StarFormer,StarFormer TightWave,no_candidate,4
REC_1045,Johnson & Johnson,Mentor,CPX4 Breast Tissue Expanders,no_candidate,1
REC_1046,Johnson & Johnson,Mentor,CPX4 Plus Enhance Breast Tissue Expander,no_candidate,1
REC_1047,Johnson & Johnson,Mentor,ARTOURA PLUS Breast Tissue Expanders,fetch:http_error,1
REC_1048,Johnson & Johnson,Mentor,Volume Sizing System,no_candidate,1
REC_SKINTECH_PEEL2GLOW,Skin Tech,Peel2Glow,Peel2Glow,no_fetchable_official_url,
TOPLINE_ALLERGAN_JUVEDERM_ULTRA_XC_20260530,Allergan,Juvéderm Ultra XC,HA Filler for Lip Augmentation,no_fetchable_official_url,
TOPLINE_ALLERGAN_JUVEDERM_VOLBELLA_20260530,Allergan,Juvéderm Volbella XC,HA Filler for Lips and Undereye,no_fetchable_official_url,
TOPLINE_ALLERGAN_JUVEDERM_VOLLURE_20260530,Allergan,Juvéderm Vollure XC,HA Filler for Smile Lines,no_fetchable_official_url,
TOPLINE_ALLERGAN_REVOLVE_20260530,Allergan,REVOLVE,REVOLVE Advanced Adipose System,no_fetchable_official_url,
TOPLINE_GALDERMA_RESTYLANE_KYSSE_20260530,Galderma,Restylane Kysse,HA Filler for Lips,no_fetchable_official_url,
TOPLINE_GALDERMA_RESTYLANE_LYFT_20260530,Galderma,Restylane Lyft,HA Filler for Cheeks and Hands,no_fetchable_official_url,
TOPLINE_GALDERMA_RESTYLANE_REFYNE_20260530,Galderma,Restylane Refyne,HA Filler for Dynamic Facial Folds,no_fetchable_official_url,
TOPLINE_GALDERMA_RESTYLANE_VITAL_LIGHT_20260530,Galderma,Restylane Skinboosters Vital Light,HA Skin Quality Booster for Delicate Areas,no_fetchable_official_url,
TOPLINE_SINCLAIR_LANLUMA_20260530,Sinclair Pharma,Lanluma,PLLA Collagen Stimulating Injectable Filler,no_fetchable_official_url,
TOPLINE_SINCLAIR_PERFECTHA_20260530,Sinclair Pharma,Perfectha,HA Dermal Filler Line,no_fetchable_official_url,
UPR_ANTEAGE_MD_001,Cellese / AnteAGE,AnteAGE MD,AnteAGE MD Growth Factor / Exosome Treatment Solutions,no_fetchable_official_url,
UPR_KARISMA_001,Taumedika SRL,Karisma FACE Rh Collagen,Karisma FACE Rh Collagen,no_fetchable_official_url,
