matched,seed_record_id,product_id,company,brand,standard_product_name,registered_name,commercial_path_l1,commercial_path_l2,technology_path_l1,technology_path_l2,material_or_energy_source,legal_manufacturer,manufactured_by,marketing_holder,inclusion_status,verification_status,source_status
api,REC_0494,prod_5d03f6145ed1,EndyMed Medical,NEWA,NEWA Classic / Plus,Newa Skin Therapy System,EBD,Radiofrequency,Radiofrequency,Home Use 3DEEP RF (家用相控射频),Radiofrequency,EndyMed Medical,,EndyMed Medical,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_1012,prod_e815c527e7dd,Establishment Labs,Motiva,Motiva Ergonomix,,Implants,Breast Implant,Silicone Gel Implant,SmoothSilk Ergonomix,Silicone Gel Implant,Establishment Labs,,Establishment Labs,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0247,prod_12bd71c49908,Eunsung,Eunsung,CoolShaping 2,,EBD,Cryotherapy,Cryolipolysis,Cryolipolysis (冷冻溶脂),Cryolipolysis,Eunsung,,Eunsung,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
botox|jeuveau|nuceiva,REC_0364,prod_55e238c32bec,Evolus,Jeuveau/Nuceiva,Jeuveau (PrabotulinumtoxinA-xvfs),,Injectables,Neurotoxin,Botulinum Toxin A,900kDa Purified Botulinum Toxin (Hi-Pure Technology),Botulinum Toxin A,Evolus,,Evolus,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0280,prod_ced9c2685e0e,Fotona d.o.o.,Fotona,SP Dynamis (4D Pro),"Fotona XPulse Laser System Family (XPulse 1064 nm, XPulse 810 nm, XPulse 980 nm)",EBD,Laser,Er:YAG Laser,Er:YAG (2940nm) + Nd:YAG (1064nm),Er:YAG Laser,Fotona d.o.o.,,Fotona d.o.o.,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_1001,prod_c0931f4c54a9,Fotona d.o.o.,StarFormer,StarFormer TightWave,StarFormer,EBD,Radiofrequency,HIFEM,Focused Electromagnetic,HIFEM,Fotona d.o.o.,,Fotona d.o.o.,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
relfydess,REC_0806,prod_9e543e0b57e7,Galderma,Relfydess,RelabotulinumtoxinA,,Injectables,Neurotoxin,Botulinum Toxin A,BoNT-A,Botulinum Toxin A,Galderma,,Galderma,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
botox|dysport|azzalure,REC_0211,prod_a3fda2457621,Galderma,Dysport / Azzalure,AbobotulinumtoxinA,注射用A型肉毒毒素,Injectables,Neurotoxin,Botulinum Toxin A,Botulinum Toxin Type A (肉毒素),Botulinum Toxin A,Galderma,,Galderma,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
alluzience,REC_0805,prod_2dc6158c17cc,Galderma,Alluzience,Ready-to-Use Liquid BoNT-A,,Injectables,Neurotoxin,Botulinum Toxin A,BoNT-A,Botulinum Toxin A,Galderma,,Galderma,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
kybella|belkyra,REC_0292,prod_67982711aa8b,GANA,GANA,GANA DA,,Injectables,Lipolytic,Deoxycholic Acid,Deoxycholic Acid (脱氧胆酸),Deoxycholic Acid,GANA,,GANA,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
eloquence,REC_0224,prod_82f3430ed451,Haim Aesthetics,Eloquence,Eloquence (Fine/Deep/Sub-Q),,Injectables,Dermal Filler,Hyaluronic Acid,HA Filler (ZEEP Technology),Hyaluronic Acid,Haim Aesthetics,,Haim Aesthetics,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0199,prod_e998a6e999a4,Hironic,Doublo,New Doublo,NEW DOUBLO 2.0,EBD,Radiofrequency,HIFU,HIFU + RF (超声射频协同),HIFU,Hironic,,Hironic,active,official_evidence_promoted,"official_company_certificate, official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0543,prod_9bb0117dfaf5,Hironic,PicoHi,PicoHi 300,PICOHI,EBD,Laser,Picosecond Laser,Picosecond Laser (300ps),Picosecond Laser,Hironic,,Hironic,active,official_evidence_promoted,"official_company_certificate, official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0950,prod_91d9d7eb822e,Hironic,SILKRO,SILKRO,SILKRO,EBD,Radiofrequency,Radiofrequency,Plasma RF Combination,Radiofrequency,Hironic,,Hironic,active,official_evidence_promoted,"official_company_certificate, official_eudamed, official_fda_api, official_product_document, official_product_page, official_spec_candidate"
botox|letybo|botulax,REC_0395,prod_d1a2783c56d8,Hugel,Letybo / Botulax,Letybo (LetibotulinumtoxinA),注射用A型肉毒毒素,Injectables,Neurotoxin,Botulinum Toxin A,LetibotulinumtoxinA,Botulinum Toxin A,Hugel,,Hugel,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_page, official_spec_candidate, official_evidence_promoted"
dermashine,REC_0176,prod_34f1bcd4274c,Huons Meditech,DermaShine,DermaShine Pro / Balance,Premium 9-Pin Needle for Dermashine Pro / Balance,Consumables,Needles & Cannulas,Multi-Needle Injector,Multi-needle Injector (水光机),Multi-Needle Injector,Huons Meditech,,Huons Meditech,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_evidence_promoted"
dermashine,REC_0177,prod_fad4dbfdec67,Huons Meditech,DermaShine,DermaShine Duo RF,,EBD,Radiofrequency,Radiofrequency,RF Multi-needle Injector (射频水光),Radiofrequency,Huons Meditech,,Huons Meditech,active,official_document_cross_checked,"official_company_fact_override, official_product_document, official_product_page"
botox,REC_0263,prod_258534f6457e,Hyalure,Exolure,Exolure Visage,,Regenerative,Exosome,Exosome + HA,Biorevitalizer (Exosome + HA),Exosome + HA,Hyalure,,Hyalure,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
api,REC_0122,prod_fa2445136b1e,Induction Therapies,Collagen P.I.N.,Microneedling Device,,EBD,Microneedling,Microneedling,,Microneedling,Induction Therapies,,Induction Therapies,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0343,prod_df5ecd87f89e,Induction Therapies,Induction Therapies Skincare,Post-Procedure,,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,Induction Therapies,,Induction Therapies,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
api,REC_0063,prod_e31fd556f548,Institute BCN,BCN,BCN Classics,,Injectables,Mesotherapy,Mesotherapy,Mesotherapy Solution (中胚层原液),Mesotherapy,Institute BCN,,Institute BCN,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
alluzience,REC_0962,prod_f8f092fe3eff,Ipsen Pharma,Alluzience,Alluzience,,Injectables,Neurotoxin,Botulinum Toxin A,Liquid Ready-to-Use,Botulinum Toxin A,Ipsen Pharma,,Ipsen Pharma,active,official_product_page_cross_checked,"seed_from_workbook, official_product_page"
ultim,REC_0389,prod_2856e814e526,Jaysean / J Syeon,La Pomme,La Pomme / Caratfill,La Pomme / Caratfill,Injectables,Dermal Filler,HA Filler / PDRN Skin Booster,HA Filler / Skin Booster,HA Filler / PDRN Skin Booster,Jaysean / J Syeon,,Jaysean / J Syeon,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
rejuran,REC_0619,prod_111999385ece,JDBIO,Richesse,Richesse / Richesse Eyes,Richesse / Richesse Eyes,Injectables,Skin Booster,PDRN + Hyaluronic Acid + Peptides,HA Filler / PDRN,PDRN + Hyaluronic Acid + Peptides,JDBIO,,JDBIO,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
e.p.t.q|eptq,REC_0213,prod_6538b2f63b54,Jetema,e.p.t.q.,e.p.t.q. (S100/300/500),注射用交联透明质酸钠凝胶Cross-linked sodium hyaluronate Gel for Injection,Injectables,Dermal Filler,Hyaluronic Acid,HA Filler (ZEEP Technology),Hyaluronic Acid,Jetema,,Jetema,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
yvoire,REC_0965,prod_f2adaaca4e65,Jetema,Yvoire,Yvoire,,EBD,IPL,Hyaluronic Acid,Premium HA,Hyaluronic Acid,Jetema,,Jetema,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
carboxy,REC_0618,prod_6acacc13ad62,JMBiotech,RIBESKIN,CO2 Carboxy / Pink Aging,,EBD,Laser,CO2 Laser,Needle-free CO2 (无针注氧),CO2 Laser,JMBiotech,,JMBiotech,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
botox,REC_0368,prod_63f8b056df34,Juvaplus,Juvapen,Juvapen Expert,,Consumables,Injection Devices,Automated Injector,Automated Injector (肉毒助推器),Automated Injector,Juvaplus,,Juvaplus,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
yvoire,REC_0778,prod_e074be487e63,LG Chem,Yvoire,Yvoire (Classic/Volume),注射用修饰透明质酸钠凝胶YVOIRE volume s,Injectables,Dermal Filler,Hyaluronic Acid,HA Filler (HICE),Hyaluronic Acid,LG Chem,,LG Chem,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
api,REC_0414,prod_12d68f975ca7,Lumenis,Lumenis,Stellar M22,Lumenis M22 System,EBD,Radiofrequency,IPL,IPL (OPT Technology),IPL,Lumenis,,Lumenis,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0979,prod_de9818c5ff31,Lumenis,LightSheer,LightSheer QUATTRO,LightSheer Desire Light Laser System,EBD,Laser,Diode Laser,805nm+1060nm Dual Wavelength,Diode Laser,Lumenis,,Lumenis,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0981,prod_14ad2948931e,Lumenis,Lumenis,AcuPulse,"AcuPulse CO2 Laser System, Delivery Devices and Accessories",EBD,Laser,CO2 Laser,Fractional CO2,CO2 Laser,Lumenis,,Lumenis,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0986,prod_d1f530fbdb7b,Lumenis,Lumenis,FoLix,FoLix,EBD,Laser,Fractional Laser,1565nm Non-ablative,Fractional Laser,Lumenis,,Lumenis,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0418,prod_98e1ab884d55,Lutronic / Cynosure Lutronic,Lutronic,LaseMD Ultra,"LUTRONIC CORPORATION ECO2 PLUS, DENTA III AND III+ AND SP III LASER SYSTEMS",EBD,Laser,Thulium Laser,1927nm Thulium Laser (铥激光),Thulium Laser,Lutronic / Cynosure Lutronic,,Lutronic / Cynosure Lutronic,active,official_evidence_promoted,"official_eudamed, official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0419,prod_19403421ebcf,Lutronic / Cynosure Lutronic,Lutronic,Genius,medi pneumatic compression system (pcs)-genius (Model 652),EBD,Microneedling,Fractional RF,AI RF Microneedling (智能黄金微针),Fractional RF,Lutronic / Cynosure Lutronic,,Lutronic / Cynosure Lutronic,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_1006,prod_b0efb78d5400,Lutronic / Cynosure Lutronic,Lutronic,Clarity II,CLARITY II Laser System,EBD,Laser,Nd:YAG Laser,755nm + 1064nm IntelliTrak,Nd:YAG Laser,Lutronic / Cynosure Lutronic,,Lutronic / Cynosure Lutronic,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_1007,prod_24a96d4dceb4,Lutronic / Cynosure Lutronic,Lutronic,Accufit,accufit,EBD,EMS,EMS,Direct Muscle Activation,EMS,Lutronic / Cynosure Lutronic,,Lutronic / Cynosure Lutronic,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_1009,prod_3b0c60aa688d,Lutronic / Cynosure Lutronic,Mosaic,Mosaic 3D,MOSAIC ECO2 LASER SYSTEM,EBD,Laser,Fractional Laser,1550nm Fractional,Fractional Laser,Lutronic / Cynosure Lutronic,,Lutronic / Cynosure Lutronic,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
neuramis,REC_0489,prod_47cb493205f7,Medytox,Neuramis,Neuramis (Deep/Volume),,Injectables,Dermal Filler,Hyaluronic Acid,HA Filler (SHAPE Technology),Hyaluronic Acid,Medytox,,Medytox,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
botox,REC_0492,prod_38346130aefe,Medytox,Neuronox / Meditoxin,Neuronox (Botulinum Toxin Type A),,Injectables,Neurotoxin,Botulinum Toxin A,Standard Toxin (粉毒),Botulinum Toxin A,Medytox,,Medytox,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
neuramis light|neuramis,REC_0884,prod_d9e270e32e4c,Medytox,Neuramis Light,HA Filler for Superficial,,EBD,Radiofrequency,Hyaluronic Acid,HA Filler,Hyaluronic Acid,Medytox,,Medytox,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
neuramis,REC_0885,prod_88adbabfca4e,Medytox,Neuramis Deep,HA Filler 20mg/ml,,Injectables,Dermal Filler,Hyaluronic Acid,HA Filler,Hyaluronic Acid,Medytox,,Medytox,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
neuramis,REC_0886,prod_404084cc36eb,Medytox,Neuramis Volume,HA Filler for Volume,,Injectables,Dermal Filler,Hyaluronic Acid,HA Filler,Hyaluronic Acid,Medytox,,Medytox,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
xeomin,REC_0129,prod_5b477b4aab50,Medytox,Coretox,Animal-Free Botulinum Toxin,,Injectables,Neurotoxin,Botulinum Toxin A,Pure Toxin (低蛋白肉毒),Botulinum Toxin A,Medytox,,Medytox,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0813,prod_39d6d2704bea,Merz,Cellfina,Cellulite Treatment Device,The Cellfina System,EBD,Body Contouring,Subcision,Subcision,Subcision,Merz,,Merz,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
xeomin|bocouture,REC_0772,prod_4bda0a95d0de,Merz,Xeomin / Bocouture,Xeomin (IncobotulinumtoxinA),注射用A型肉毒毒素,Injectables,Neurotoxin,Botulinum Toxin A,Pure Neurotoxin (零复合蛋白肉毒),Botulinum Toxin A,Merz,,Merz,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
rhinoplasty,REC_0015,prod_979fbd2d80a9,Oreon Life Science,Aessoa,Aessoa (Shine/Deep),,Injectables,Dermal Filler,Hyaluronic Acid,HA Filler (Monophasic),Hyaluronic Acid,Oreon Life Science,,Oreon Life Science,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
rejuran,REC_0601,prod_acddd3fcf65f,PharmaResearch / PR Bio,Rejuran,Rejuran Healer / HB Plus,Rejuran Healer / HB Plus,Injectables,Skin Booster,Polynucleotide,PN (Polynucleotide),Polynucleotide,PharmaResearch / PR Bio,PharmaResearch / PR Bio,PharmaResearch / PR Bio,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, upstream_report_reference_official_verification, official_evidence_promoted"
rejuran,REC_0602,prod_370e7de7fb2d,PharmaResearch / PR Bio,Rejuran,Rejuran i / s,Rejuran i / Eyes,Injectables,Skin Booster,Polynucleotide,PN (Polynucleotide),Polynucleotide,PharmaResearch / PR Bio,PharmaResearch / PR Bio,PharmaResearch / PR Bio,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
rejuran,REC_0970,prod_7ea8f16a2265,PharmaResearch / PR Bio,Rejuran,Rejuran Healer,Rejuran Healer,Injectables,Skin Booster,Polynucleotide,c-PDRN,Polynucleotide,PharmaResearch / PR Bio,PharmaResearch / PR Bio,PharmaResearch / PR Bio,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, upstream_report_reference_official_verification, official_evidence_promoted"
rejuran,REC_0971,prod_6c7426692e00,PharmaResearch / PR Bio,Rejuran,Rejuran Shine,Rejuran Shine,Injectables,Skin Booster,PN / HA Skin Booster,HA-PDRN Complex,PN / HA Skin Booster,PharmaResearch / PR Bio,PharmaResearch / PR Bio,PharmaResearch / PR Bio,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
rejuran,REC_0506,prod_f45d071ba572,Promoitalia,Nucleofill,Nucleofill (Strong/Medium),,Injectables,Skin Booster,Polynucleotide,PN (Polynucleotide),Polynucleotide,Promoitalia,,Promoitalia,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0581,prod_e43d18c68549,Quanta System,Quanta,Discovery Pico,QUANTA LITE CENTROMERE (CENP-A & CENP-B) ELISA,EBD,Laser,Picosecond Laser,Picosecond Laser (超皮秒),Picosecond Laser,Quanta System,,Quanta System,active,official_evidence_promoted,"official_eudamed, official_fda_api, official_product_document, official_product_page, official_spec_candidate"
botox|daxxify,REC_0151,prod_8c2cbcc5cd9e,Revance Therapeutics,Daxxify,Daxxify (DaxibotulinumtoxinA),注射用A型肉毒毒素,Injectables,Neurotoxin,Botulinum Toxin A,Peptide-Formulated Toxin (长效肉毒),Botulinum Toxin A,Revance Therapeutics,,Revance Therapeutics,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
api,REC_0631,prod_6e774fcc53e5,Sciton,Sciton,BBL HERO,SCITON IMAGE HAIR REMOVAL LASER,EBD,Laser,BBL,BroadBand Light (牛奶光),BBL,Sciton,,Sciton,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0988,prod_b8e4460ae688,Sciton,Sciton,mJOULE,mJOULE RF System and Accessories,EBD,IPL,Compact Platform,Compact Multi-application,Compact Platform,Sciton,,Sciton,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0644,prod_1831e0e6505c,SharpLight,SharpLight,Omnimax,"Omnimax S3, Omnimax S4",EBD,Laser,Dpc (Dynamic Pulse Control),DPC (Dynamic Pulse Control),Dpc (Dynamic Pulse Control),SharpLight,,SharpLight,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
api,REC_0120,prod_c4efc6e77f0f,Sinclair Pharma,Cocoon Medical,Elysion Pro,elysion-pro,EBD,Laser,Diode Laser,Diode Laser (二极管激光),Diode Laser,Sinclair Pharma,,Sinclair Pharma,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
hydrafacial,REC_0647,prod_a8c9af4989b1,Sinclair Pharma,Sinclair,Préime DermaFacial,,EBD,Laser,Radiofrequency,Hydro-dermabrasion + RF,Radiofrequency,Sinclair Pharma,,Sinclair Pharma,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0650,prod_70aeab73aa1c,Skin Tech,Skin Tech,Easy TCA,SKIN TECH. ISOTEX 86L,Skincare,Chemical Peel,Chemical Peel,Hybrid TCA Peel (混合TCA),Chemical Peel,Skin Tech,,Skin Tech,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
api,REC_0117,prod_1cd5e7bc531f,Solta Medical,Clear + Brilliant,Clear + Brilliant,CLEAR+BRILLIANT LASER SYSTEM,EBD,Laser,Perméa / Original,Perméa / Original,Perméa / Original,Solta Medical,,Solta Medical,active,official_evidence_promoted,"official_company_ifu, official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0285,prod_6396464378ec,Solta Medical,Fraxel,Fraxel DUAL,FRAXEL DUAL 1550/1927 LASER SYSTEM,EBD,Laser,Fractional Laser,Fractional Laser (飞梭激光),Fractional Laser,Solta Medical,,Solta Medical,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0698,prod_49f4714b934f,Solta Medical,Thermage,Thermage FLX,THERMAGE CPT SYSTEM,EBD,Radiofrequency,Monopolar RF,Monopolar RF (单极射频),Monopolar RF,Solta Medical,,Solta Medical,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0678,prod_38f295a821a1,Storz Medical,Storz,Cellactor / D-Actor,,EBD,Shockwave,Acoustic Wave Therapy,AWT (Acoustic Wave Therapy),Acoustic Wave Therapy,Storz Medical,,Storz Medical,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page, upstream_report_reference_official_verification"
10thera,REC_0005,prod_53c8e4eddfc4,Tentech,10Thera,10Thera (TenThera),,EBD,HIFU,HIFU,2-Line HIFU (双线超声),HIFU,Tentech,,Tentech,active,unverified_seed,seed_from_workbook
10therma,REC_0006,prod_1410ca60fe8f,Tentech,10Therma,10Therma (TenTherma),,EBD,Radiofrequency,Monopolar RF,Monopolar RF (单极射频),Monopolar RF,Tentech,,Tentech,active,unverified_seed,seed_from_workbook
rejuran,REC_0598,prod_aef38a23730f,Tentech,Regevan,Regevan PN,,EBD,HIFU,Pdrn,PN (Polynucleotide),Pdrn,Tentech,,Tentech,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
api,REC_0688,prod_e18ac869600f,Teoxane Laboratories,Teosyal,Teosyal RHA (1/2/3/4),Teosyal RHA (1/2/3/4),Injectables,Dermal Filler,Hyaluronic Acid,Resilient HA (动态玻尿酸),Hyaluronic Acid,Teoxane Laboratories,,Teoxane Laboratories,active,official_evidence_promoted,"official_company_ifu, official_product_document, official_product_page, official_spec_candidate"
api,REC_0695,prod_c1042520c927,The Skin Lounge,The Skin Lounge,Seoul Masks,,Skincare,Cosmeceutical,Bio-Cellulose,Bio-cellulose (生物纤维),Bio-Cellulose,The Skin Lounge,,The Skin Lounge,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
api,REC_0920,prod_f3fb159195fb,Venus Concept,Venus BlissMAX,Venus BlissMAX,Venus BlissMAX,EBD,Laser,Multi-Modality,Diode Laser + (MP)2 + EMS,Multi-Modality,Venus Concept,,Venus Concept,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_evidence_promoted"
api,REC_0923,prod_5704d19bf441,Venus Concept,AI.ME,AI.ME,AI.ME System,EBD,Platform,Robotic Platform,AI Robotics,Robotic Platform,Venus Concept,,Venus Concept,active,official_evidence_promoted,"official_eudamed, official_fda_api, official_product_document, official_product_page"
api,REC_0924,prod_928380b64a65,Venus Concept,ARTAS,ARTAS iX,THE ARTAS SYSTEM,EBD,Hair Restoration,Hyaluronic Acid,Robotic FUE,Hyaluronic Acid,Venus Concept,,Venus Concept,active,official_evidence_promoted,"official_fda_api, official_product_document, official_product_page, official_spec_candidate"
rhinoplasty,REC_0306,prod_8651924ee70e,W.L. Gore & Associates,Gore-Tex,ePTFE Implants,GORE-TEX VASCULAR GRAFT; GORE-TEX STRETCH VASCULAR GRAFT,Implants,Other Implant,Expanded Ptfe,Expanded PTFE (膨体),Expanded Ptfe,W.L. Gore & Associates,,W.L. Gore & Associates,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
api,REC_0764,prod_b3e2fc3093a1,Wontech,Wontech,Pastelle,WONTECH Surgical Optic Fibers (BA400/BA400R/BA600/BA600R),EBD,Laser,Q-Switched Laser,Q-Switched Nd:YAG,Q-Switched Laser,Wontech,,Wontech,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
api,REC_0767,prod_c59257d9852e,Wontech,Wontech,Lavieen,Lavieen,EBD,Laser,Thulium Laser,Thulium Laser (铥激光),Thulium Laser,Wontech,,Wontech,active,official_evidence_promoted,"official_fda_api, official_product_page, official_spec_candidate"
api,REC_0940,prod_c9edd723d544,Wontech,PICOCARE,PICOCARE 450/Majesty,Picocare Family,EBD,Laser,Picosecond Laser,Picosecond Nd:YAG,Picosecond Laser,Wontech,,Wontech,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page"
api,REC_0945,prod_49a9c5d5acd1,Wontech,HairBeam,HairBeam/HairBoom,"Hair Boom 69, Hair Boom Air, Ulike Hair UpUp",EBD,Laser,Lllt,Low Level Laser Therapy,Lllt,Wontech,,Wontech,active,official_evidence_promoted,"official_fda_api, official_product_page"
etrebelle,REC_1055,prod_1d01a539c54f,FacePharm Korea,Etrebelle,Etrebelle 50 mg / 200 mg,,Injectables,Biostimulator,PDLLA,"Poly D,L-lactide (PLA) + HA hybrid filler",PDLLA,FacePharm Korea,,FacePharm Korea,active,unverified_seed,seed_from_workbook
carboxy,UPR_KARISMA_001,prod_a11a36bc340c,Taumedika SRL,Karisma FACE Rh Collagen,Karisma FACE Rh Collagen,,Injectables,Biostimulator,Rh Collagen,,Rh Collagen,Taumedika SRL,Taumedika SRL,Taumedika SRL,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_page, official_product_fact_promoted, upstream_report_reference_official_verification"
juvéderm ultra plus,TOPLINE_ALLERGAN_JUVEDERM_ULTRA_PLUS_XC_20260530,prod_8f0762df3c65,Allergan,Juvéderm Ultra Plus XC,HA Filler for Facial Wrinkles and Folds,,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,,Hyaluronic Acid Dermal Filler,Allergan,Allergan,Allergan,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_page, official_product_fact_promoted, top_company_productline_official_verification"
restylane defyne,TOPLINE_GALDERMA_RESTYLANE_DEFYNE_20260530,prod_93db7892de5b,Galderma,Restylane Defyne,HA Filler for Deep Facial Folds,,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,,Hyaluronic Acid Dermal Filler,Galderma,Galderma,Galderma,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_page, official_product_fact_promoted, top_company_productline_official_verification"
newlux,TOPLINE_MEDYTOX_NEWLUX_20260530,prod_a85c058406fc,Medytox,NEWLUX,Botulinum Toxin Type A 100U,,Injectables,Neurotoxin,Botulinum Toxin Type A,,Botulinum Toxin Type A,Medytox,Medytox,Medytox,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_page, official_product_fact_promoted, top_company_productline_official_verification"
